No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
132,BDX,"Becton, Dickinson and Company",79.96B,281.55,0.55%,19.05B
133,C,Citigroup Inc.,79.57B,41.32,0.19%,77.40B
134,MO,"Altria Group, Inc.",78.49B,43.97,0.69%,24.89B
135,BSX,Boston Scientific Corporation,77.33B,53.79,5.97%,13.40B
136,PGR,The Progressive Corporation,76.99B,131.58,-0.75%,55.91B
137,HCA,"HCA Healthcare, Inc.",76.35B,277.54,1.56%,61.92B
138,FI,"Fiserv, Inc.",74.82B,122.74,1.04%,18.45B
139,EOG,"EOG Resources, Inc.",74.52B,127.42,0.27%,25.93B
140,SO,The Southern Company,74.29B,68.13,0.06%,27.65B
141,CNI,Canadian National Railway Company,73.58B,112.23,-0.22%,13.10B
142,BTI,British American Tobacco p.l.c.,73.58B,32.90,0.77%,35.73B
143,CP,Canadian Pacific Railway Limited,73.36B,78.76,0.23%,7.68B
144,ITW,Illinois Tool Works Inc.,73.31B,242.43,0.77%,16.08B
145,CME,CME Group Inc.,73.14B,203.32,0.05%,5.24B
146,EQIX,"Equinix, Inc.",72.84B,778.49,0.98%,7.73B
147,SHOP,Shopify Inc.,72.23B,56.31,1.39%,6.30B
148,ATVI,"Activision Blizzard, Inc.",72.20B,91.77,0.12%,8.71B
149,GSK,GSK plc,71.89B,35.11,0.98%,37.13B
150,INFY,Infosys Limited,71.72B,17.33,0.46%,18.21B
151,MU,"Micron Technology, Inc.",71.53B,65.31,2.50%,18.17B
152,PANW,"Palo Alto Networks, Inc.",71.09B,232.42,0.72%,6.89B
153,AMX,"AmÃ©rica MÃ³vil, SAB de CV",70.88B,18.90,-0.47%,50.40B
154,VMW,"VMware, Inc.",70.66B,164.19,1.01%,13.54B
155,ENB,Enbridge Inc.,70.17B,34.69,0.84%,35.72B
156,DUK,Duke Energy Corporation,69.38B,90.02,-0.62%,28.81B
157,PYPL,"PayPal Holdings, Inc.",68.81B,61.67,0.78%,28.56B
158,SHW,The Sherwin-Williams Company,68.49B,266.36,0.65%,22.96B
159,CNQ,Canadian Natural Resources Limited,68.15B,62.39,2.43%,27.57B
160,KKR,KKR & Co. Inc.,67.85B,60.64,1.92%,11.14B
161,SNPS,"Synopsys, Inc.",67.49B,443.68,0.33%,5.53B
162,AON,Aon plc,67.25B,331.51,-0.17%,12.87B
163,NTES,"NetEase, Inc.",66.77B,103.53,4.83%,13.65B
164,KLAC,KLA Corporation,66.51B,486.49,0.99%,10.50B
165,ICE,"Intercontinental Exchange, Inc.",65.84B,117.50,1.47%,9.57B
166,NOC,Northrop Grumman Corporation,65.23B,431.15,0.37%,37.88B
167,FDX,FedEx Corporation,64.98B,258.35,-0.15%,90.16B
168,CHTR,"Charter Communications, Inc.",64.66B,432.00,3.65%,54.54B
169,APD,"Air Products and Chemicals, Inc.",64.38B,289.86,0.54%,12.98B
170,WM,"Waste Management, Inc.",63.98B,157.94,-0.25%,20.02B
171,CDNS,"Cadence Design Systems, Inc.",63.48B,233.55,0.45%,3.80B
172,SAN,"Banco Santander, S.A.",63.12B,3.90,2.63%,55.12B
173,MELI,"MercadoLibre, Inc.",62.73B,"1,249.46",0.94%,12.14B
174,CSX,CSX Corporation,61.92B,30.86,-0.16%,15.03B
175,WDAY,"Workday, Inc.",61.91B,236.30,-0.28%,6.72B
176,GD,General Dynamics Corporation,61.53B,225.35,0.79%,40.86B
177,MAR,"Marriott International, Inc.",61.44B,202.53,1.37%,22.93B
178,MCO,Moody's Corporation,61.41B,334.73,0.09%,5.53B
179,SCCO,Southern Copper Corporation,61.06B,78.98,1.53%,10.07B
180,CL,Colgate-Palmolive Company,60.88B,73.64,-0.26%,18.68B
181,RELX,RELX PLC,60.75B,32.11,0.53%,11.50B
